"學年度","設立別","學程別","群科別","畢業生人數","農_林_漁_牧業人數","礦業及土石採取業人數","製造業人數","電力及燃氣供應業人數","用水供應及污染整治業人數","營建工程業人數","批發及零售業人數","運輸及倉儲業人數","住宿及餐飲業人數","出版影音及資通訊業人數","金融及保險業人數","不動產業人數","專業_科學及技術服務業人數","支援服務業人數","公共行政及國防_強制性社會安全人數","教育業人數","醫療保健及社會工作服務業人數","藝術_娛樂及休閒服務業人數","其他服務業人數","就業率","農_林_漁_牧業比率","礦業及土石採取業比率","製造業比率","電力及燃氣供應業比率","用水供應及污染整治業比率","營建工程業比率","批發及零售業比率","運輸及倉儲業比率","住宿及餐飲業比率","出版影音及資通訊業比率","金融及保險業比率","不動產業比率","專業_科學及技術服務業比率","支援服務業比率","公共行政及國防_強制性社會安全比率","教育業比率","醫療保健及社會工作服務業比率","藝術_娛樂及休閒服務業比率","其他服務業比率"
109,國立,綜合高中,電機與電子群,107,1,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,1,7.47663551401869,0.934579439252336,0,0,0,0,0,0.934579439252336,0,2.80373831775701,0,0,0,0,1.86915887850467,0,0,0,0,0.934579439252336
109,國立,綜合高中,化工群,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,國立,綜合高中,土木與建築群,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.88679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88679245283019,0,0,0,0,0
109,國立,綜合高中,商業與管理群,356,2,0,0,1,0,1,1,0,2,0,0,0,0,0,8,0,0,0,1,4.49438202247191,0.561797752808989,0,0,0.280898876404494,0,0.280898876404494,0.280898876404494,0,0.561797752808989,0,0,0,0,0,2.24719101123596,0,0,0,0.280898876404494
109,國立,綜合高中,外語群,113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.884955752212389,0,0,0,0,0,0,0,0,0.884955752212389,0,0,0,0,0,0,0,0,0,0
109,國立,綜合高中,設計群,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5.26315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63157894736842,0,0,2.63157894736842,0
109,國立,綜合高中,農業群,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7.84313725490196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88235294117647,0,0,0,1.96078431372549
109,國立,綜合高中,食品群,94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.06382978723404,0,0,0,0,0,0,0,0,1.06382978723404,0,0,0,0,0,0,0,0,0,0
109,國立,綜合高中,家政群,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
109,國立,綜合高中,餐旅群,210,0,0,4,0,0,0,2,0,8,0,0,0,0,0,11,1,0,0,2,13.3333333333333,0,0,1.9047619047619,0,0,0,0.952380952380952,0,3.80952380952381,0,0,0,0,0,5.23809523809524,0.476190476190476,0,0,0.952380952380952
